store_key	storename	address	telno	region_name	province_name	city_muni_name	latitude	longitude	Wheelchair-YES	Audio-YES
901	Gen Trias Poblacion	Sampalukan St Poblacion Gen Trias Cavite		REGION IV-A (CALABARZON)	CAVITE	GENERAL TRIAS	14.3849	120.879		
914	Nabua	"San Roque Poblacion, Nabua Camarines Sur"		REGION V (Bicol Region)	CAMARINES SUR	NABUA	13.405	123.369		
942	Munoz Nueva Ecija	Delos Santos St Science City Munoz Nueva Ecija	923		NUEVA ECIJA	SCIENCE CITY OF MUãOZ	15.712	120.904		
925	Tuy	"Poblacion, Tuy, Batangas"		REGION IV-A (CALABARZON)	BATANGAS	TUY	14.0207	120.729		
932	Imez 2	Pueblo Verde in Mactan Economic Zone II Basak Lapu		REGION VII (Central Visayas)	CEBU	LAPU-LAPU CITY	10.3071	123.962		
933	UCLM	Myfc Building A C Cortez Avenue Mandaue City		REGION VII (Central Visayas)	CEBU	MANDAUE CITY	10.3254	123.953		
934	JY Square Mall	Salinas Drive cor Gorordo Avenue Lahug Cebu City		REGION VII (Central Visayas)	CEBU	CEBU CITY	10.3303	123.899		
935	Tune Hotel	36 Archbishop Reyes Avenue Cebu City		REGION VII (Central Visayas)	CEBU	CEBU CITY	10.3205	123.904		
946	Cebu Capitol	Don Gil Garcia St cor Escario St Capitol Cebu City		REGION VII (Central Visayas)	CEBU	CEBU CITY	10.3158	123.89		
947	CDU	Carvelo Canteen North Reclamation Area Mandaue		REGION VII (Central Visayas)	CEBU	MANDAUE CITY	10.3083	123.915		
948	Escario	N Escario Brgy Kamputhaw Cebu City		REGION VII (Central Visayas)	CEBU	CEBU CITY	10.3174	123.894		
950	Bigfoot	Bigfoot Center F Ramos St Cogon Central Cebu City		REGION VII (Central Visayas)	CEBU	CEBU CITY	10.3225	123.897		
834	Remington hotel	"Ground Floor Shop 2, Remington Hotel, Newport City"		NCR - National Capital Region	"NCR, FOURTH DISTRICT"	PASAY CITY	14.5179	121.019		
850	Airport Road 2	Roxas Boulevard Airport Road Baclaran ParaÐaque		NCR - National Capital Region	"NCR, FOURTH DISTRICT"	CITY OF PARAãAQUE	14.5273	120.997		
900	Catanauan	Poblacion 10 Catanauan Quezon		REGION IV-A (CALABARZON)	QUEZON	CATANAUAN	13.5948	122.323		
909	Plaza 66	Plaza 66 New Port City		NCR - National Capital Region	"NCR, FOURTH DISTRICT"	PASAY CITY	14.5203	121.016		
913	Pagsawitan	Brgy Pagsawitan Sta Cruz Laguna		REGION IV-A (CALABARZON)	LAGUNA	SANTA CRUZ (Capital)	14.2683	121.427		
915	Alaminos Laguna	Del Pilar st Alaminos Laguna		REGION IV-A (CALABARZON)	LAGUNA	ALAMINOS	14.0654	121.247		
920	Malvar Poblacion	Poblacion Malvar Batangas		REGION IV-A (CALABARZON)	BATANGAS	MALVAR	14.1081	121.141		
937	VRP Sierra Madre	Sierra Madre  Brgy Highway Hills Mandaluyong City	5702528	NCR - National Capital Region	"NCR, SECOND DISTRICT"	CITY OF MANDALUYONG	14.577	121.05		
938	Ibaan	J Pastor st Ibaan Batangas		REGION IV-A (CALABARZON)	BATANGAS	IBAAN	13.8179	121.134		
940	RADA	GF HRC Center 104Rada St Legaspi Village Makati		NCR - National Capital Region	"NCR, FOURTH DISTRICT"	CITY OF MAKATI	14.5545	121.018		
989	Caltex Mango Ave.	Caltex mango Ave.		REGION VII (Central Visayas)	CEBU	CEBU CITY	10.3102	123.895		
990	Banilad	Banilad		REGION VII (Central Visayas)	CEBU	CEBU CITY	10.3429	123.913		
991	Caltex-NRA	Caltex North Reclamation Area		REGION VII (Central Visayas)	CEBU	CEBU CITY	10.3187	123.931		
870	Soho Central	Green Field District Mandaluyong City	3837245	NCR - National Capital Region	"NCR, SECOND DISTRICT"	CITY OF MANDALUYONG	14.5772	121.056		
922	Angono Medics	Quezon Ave.Highway Brgy San Isidro Angono Rizal	922	REGION IV-A (CALABARZON)	RIZAL	ANGONO	14.5313	121.153		
930	Caltex Sto. Tomas	Maharlika Highway  San Antonio Sto Tomas Batangas		REGION IV-A (CALABARZON)	BATANGAS	SANTO TOMAS	14.109	121.147		
32	Maypajo	"J.P. Rizal Cor. Mabini St. Maypajo, Caloocan City"	2889890	NCR - National Capital Region	"NCR, THIRD DISTRICT"	CALOOCAN CITY	14.6379	120.976		
798	C5 Damayan	Blk.51 Lot 8 Phase 2 brgy Pinagsam aTaguig City		NCR - National Capital Region	"NCR, FOURTH DISTRICT"	TAGUIG CITY	14.5237	121.058		
800	UST Campus	University of Santo Tomas Sampaloc Manila		NCR - National Capital Region	"NCR, CITY OF MANILA, FIRST DISTRICT"	SAMPALOC	14.6099	120.989		
854	Naga 4	Liboton St. cor Jacob St. Naga City Camarines Sur		REGION V (Bicol Region)	CAMARINES SUR	NAGA CITY	13.634	123.19		
873	Lipa Cathedral	San Sebastian Cathedral Lipa City		REGION IV-A (CALABARZON)	BATANGAS	LIPA CITY	13.9409	121.163		
905	Harbor Point	Harbor Point Rizal Highway subic BayFreeport Zone	932	REGION III (Central Luzon)	ZAMBALES	SUBIC	14.8248	120.28		
910	500 Shaw Zentrum	Shaw blvd. cor. S. Laurel Mandaluyong	933	NCR - National Capital Region	"NCR, SECOND DISTRICT"	CITY OF MANDALUYONG	14.5881	121.044		
911	Balayan 2	Antorcha St cor Paz St Balayan Batangas		REGION IV-A (CALABARZON)	BATANGAS	BALAYAN	13.9422	120.731		
924	Tawilisan	Brgy Bihis Tawilisan Taal Batangas		REGION IV-A (CALABARZON)	BATANGAS	TAAL	13.8943	120.93		
929	Calauan	Brgy Kanluran Calauan Laguna		REGION IV-A (CALABARZON)	LAGUNA	CALAUAN	14.1503	121.318		
941	Sariaya 2	Maharlika Highway Brsy Santo Cristo Sariaya		REGION IV-A (CALABARZON)	QUEZON	SARIAYA	13.9664	121.533		
951	San Agustin	Brgy San Agustin Sto Tomas Batangas		REGION IV-A (CALABARZON)	BATANGAS	SANTO TOMAS	14.0661	121.144		
953	San Jose Batangas	Brgy Taysan San Jose Batangas		REGION IV-A (CALABARZON)	BATANGAS	SAN JOSE	13.8204	121.032		
963	Bayani Road	Bayani road cor Diego Silang Taguig Cuty		NCR - National Capital Region	"NCR, FOURTH DISTRICT"	TAGUIG CITY	14.5255	121.043		
966	Yellow Building	south satation Alabang muntinlupa		NCR - National Capital Region	"NCR, FOURTH DISTRICT"	CITY OF MUNTINLUPA	14.4207	121.043		
968	Tagudin	Barangay Rizal Tagudin Ilocos Sur	943	REGION I (Ilocos Region)	ILOCOS SUR	TAGUDIN	16.9411	120.452		
976	San Vicente	Brgy Banay-banay Lipa City Batangas		REGION IV-A (CALABARZON)	BATANGAS	LIPA CITY	13.9358	121.118		
977	Pansol 2	National Highway Bagong Kalsada Calamba Laguna		REGION IV-A (CALABARZON)	LAGUNA	CITY OF CALAMBA	14.1731	121.2		
998	Mambog	New Molino Blvd Bacoor Cavite		REGION IV-A (CALABARZON)	CAVITE	BACOOR	14.4203	120.956		
1006	Caltex Basak	MC Briones Street Mandaue City		REGION VII (Central Visayas)	CEBU	MANDAUE CITY	10.3365	123.942		
1007	Caltex Labogon	Carvelco Canteen North Reclamation Area. Mandaue		REGION VII (Central Visayas)	CEBU	MANDAUE CITY	10.3516	123.953		
952	Montalban Burgos	JP rizal cor. Montana  Brgy Burgos Montalban Rizal	932	REGION IV-A (CALABARZON)	RIZAL	RODRIGUEZ (MONTALBAN)	14.7136	121.138		
962	Masapang	National Highway Brgy Masapang Victoria Laguna		REGION IV-A (CALABARZON)	LAGUNA	VICTORIA	14.1941	121.34		
965	Siniloan	L De Leon St Brgy Acevida Siniloan Laguna		REGION IV-A (CALABARZON)	LAGUNA	SINILOAN	14.4171	121.448		
971	Pila Poblacion	Rizal St Sta Clara Sur Pila Laguna		REGION IV-A (CALABARZON)	LAGUNA	PILA	14.2066	121.328		
981	LB Square	Lopez drive Batong Malake Los BaÐos Laguna		REGION IV-A (CALABARZON)	LAGUNA	LOS BAãOS	14.1588	121.231		
919	San Felipe	Poblacion San Felipe Zambales	942	REGION III (Central Luzon)	ZAMBALES	SAN FELIPE	15.0659	120.068		
926	Sangley Point	Dra. Salamanca St. Sangley Point Cavite City		REGION IV-A (CALABARZON)	CAVITE	CAVITE CITY	14.4614	120.924		
945	CSPC Naga	Camarines Sur Naga Campus		REGION V (Bicol Region)	CAMARINES SUR	NAGA CITY	13.4058	123.376		
954	Matatalaib	"Sitio Buno, Matatalaib Tarlac City"	933	REGION III (Central Luzon)	TARLAC	CITY OF TARLAC (Capital)	15.4975	120.601		
